id_localidade,validade_inicial,mens,recebimento
SBGR,2020-01-01 00:00:00,METAR SBGR 010000Z 00000KT CAVOK 21/21 Q1013=,2019-12-31 23:59:49
SBGR,2020-01-01 01:00:00,METAR SBGR 010100Z 00000KT CAVOK 21/21 Q1014=,2020-01-01 00:58:36
SBGR,2020-01-01 02:00:00,METAR SBGR 010200Z 08003KT 7000 NSC 21/21 Q1013=,2020-01-01 02:02:52
SBGR,2020-01-01 03:00:00,METAR SBGR 010300Z 11002KT 9000 NSC 21/20 Q1013=,2020-01-01 02:58:19
SBGR,2020-01-01 04:00:00,METAR COR SBGR 010400Z 06003KT 3000 R27R/1400N R09L/1500D R27L/1800D R09R/1900D BR SCT015 SCT060 20/20 Q1012=,2020-01-01 04:13:27
SBGR,2020-01-01 05:00:00,METAR SBGR 010500Z 09001KT 3000 R27L/1100D R09L/1400D R27R/1400D R09R/1500N BR NSC 20/20 Q1012=,2020-01-01 04:59:37
SBGR,2020-01-01 06:00:00,METAR SBGR 010600Z 00000KT 3000 R27R/0650D R09R/0900D R09L/1400U R27L/P2000 BR NSC 19/19 Q1012=,2020-01-01 06:01:19
SBGR,2020-01-01 07:00:00,METAR SBGR 010700Z 08003KT 5000 BR NSC 20/20 Q1012=,2020-01-01 06:56:34
SBGR,2020-01-01 08:00:00,METAR SBGR 010800Z 06005KT CAVOK 20/19 Q1012=,2020-01-01 07:59:36
SBGR,2020-01-01 09:00:00,METAR SBGR 010900Z 00000KT CAVOK 20/19 Q1012=,2020-01-01 08:58:29
SBGR,2020-01-01 10:00:00,METAR SBGR 011000Z 02005KT CAVOK 24/19 Q1012=,2020-01-01 09:58:05
SBGR,2020-01-01 11:00:00,METAR SBGR 011100Z 01008KT CAVOK 25/20 Q1013=,2020-01-01 10:56:08
SBGR,2020-01-01 12:00:00,METAR SBGR 011200Z 34006KT 9999 FEW030 27/21 Q1013=,2020-01-01 11:58:42
SBGR,2020-01-01 13:00:00,METAR SBGR 011300Z 31008KT 9999 FEW040 28/22 Q1012=,2020-01-01 12:58:22
SBGR,2020-01-01 14:00:00,METAR SBGR 011400Z 30009KT 9999 SCT036 29/21 Q1012=,2020-01-01 13:56:45
SBGR,2020-01-01 15:00:00,METAR SBGR 011500Z 30008KT 9999 BKN043 31/22 Q1011=,2020-01-01 15:01:01
SBGR,2020-01-01 16:00:00,METAR SBGR 011600Z 28010KT 9999 BKN049 32/20 Q1011=,2020-01-01 16:02:12
SBGR,2020-01-01 17:00:00,METAR SBGR 011700Z 30007KT 9999 SCT045 32/20 Q1010=,2020-01-01 17:02:16
SBGR,2020-01-01 18:00:00,METAR SBGR 011800Z 32009KT 9999 BKN045 32/19 Q1008=,2020-01-01 17:59:57
SBGR,2020-01-01 19:00:00,METAR SBGR 011900Z 30010KT 9999 BKN048 33/18 Q1008=,2020-01-01 18:56:07
SBGR,2020-01-01 20:00:00,METAR SBGR 012000Z 28009KT 9999 SCT050TCU BKN060 BKN100 31/19 Q1007=,2020-01-01 19:57:49
SBGR,2020-01-01 21:00:00,METAR SBGR 012100Z 13005KT CAVOK 26/19 Q1009=,2020-01-01 20:55:37
SBGR,2020-01-01 21:30:00,SPECI SBGR 012130Z 07006KT 9999 TS VCSH FEW050CB BKN060 BKN100 26/20 Q1009=,2020-01-01 21:29:40
SBGR,2020-01-01 22:00:00,METAR SBGR 012200Z 26010G28KT 9000 3500SW +TSRA SCT050CB BKN060 BKN100 24/21 Q1010=,2020-01-01 21:55:06
SBGR,2020-01-01 22:20:00,SPECI SBGR 012220Z 15003KT 8000 -TSRA BKN021 SCT033CB BKN070 21/20 Q1011 RERA=,2020-01-01 22:18:53
SBGR,2020-01-01 23:00:00,METAR SBGR 012300Z 08005KT 8000 -TSRA BKN035 FEW040CB BKN100 21/21 Q1011 RERA=,2020-01-01 22:57:20
SBGR,2020-01-02 00:00:00,METAR SBGR 020000Z 02010KT 8000 -TSRA BKN011 FEW040CB BKN100 21/21 Q1013=,2020-01-02 00:01:03
