expected_arrival,arrival_status,arrival_delay_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,air_temperature,dew_point_temperature,altimeter
2023-12-02 09:00:00,in_time,0.0,110.0,2.0,,3000.0,BR,,,OVC,400.0,,,,,,,20.0,19.0,30.0
2023-12-02 10:00:00,in_time,0.0,40.0,4.0,,4000.0,BR,,,OVC,700.0,,,,,,,20.0,19.0,30.0
2023-12-02 11:00:00,in_time,0.0,70.0,6.0,,8000.0,,,,BKN,1000.0,,,,,,,21.0,19.0,30.0
2023-12-01 12:00:00,in_time,0.0,110.0,5.0,,6000.0,,,,SCT,2000.0,,,,,,,26.0,20.0,30.03
2023-12-03 09:00:00,in_time,0.0,230.0,2.0,,9000.0,,,,NSC,,,,,,,,19.0,18.0,29.91
2023-12-03 10:00:00,in_time,0.0,20.0,3.0,,10000.0,,,,,,,,,,,,23.0,20.0,29.91
2023-12-03 11:00:00,in_time,0.0,60.0,6.0,,10000.0,,,,,,,,,,,,25.0,20.0,29.94
2023-12-02 12:00:00,in_time,0.0,30.0,4.0,,10000.0,,,,,,,,,,,,23.0,19.0,30.0
2023-12-04 09:00:00,in_time,0.0,0.0,0.0,,5000.0,BR,,,SCT,1300.0,,,,,,,20.0,19.0,30.0
2023-12-04 10:00:00,in_time,0.0,150.0,3.0,,5000.0,BR,,,BKN,1300.0,,,,,,,22.0,19.0,30.0
2023-12-04 11:00:00,in_time,0.0,60.0,3.0,,7000.0,,,,FEW,1500.0,,,,,,,24.0,19.0,30.0
2023-12-03 12:00:00,delayed,67.0,80.0,5.0,,10000.0,,,,,,,,,,,,27.0,20.0,29.94
2023-12-05 09:00:00,in_time,0.0,160.0,1.0,,9999.0,,,,BKN,1300.0,,,,,,,21.0,19.0,30.09
2023-12-05 10:00:00,in_time,0.0,170.0,1.0,,9999.0,,,,FEW,1300.0,BKN,1500.0,BKN,10000.0,,,21.0,19.0,30.12
2023-12-05 11:00:00,in_time,0.0,130.0,4.0,,9999.0,,,,SCT,1700.0,SCT,10000.0,,,,,23.0,19.0,30.12
2023-12-04 12:00:00,in_time,0.0,0.0,0.0,,10000.0,,,,,,,,,,,,25.0,18.0,30.0
2023-12-06 09:00:00,in_time,0.0,70.0,4.0,,9999.0,,,,BKN,1000.0,BKN,4500.0,,,,,22.0,20.0,30.09
2023-12-06 10:00:00,in_time,0.0,50.0,4.0,,9999.0,,,,SCT,1300.0,BKN,2500.0,,,,,23.0,20.0,30.09
2023-12-06 11:00:00,in_time,0.0,30.0,5.0,,9999.0,,,,FEW,1000.0,BKN,2000.0,,,,,24.0,20.0,30.09
2023-12-05 12:00:00,in_time,0.0,150.0,4.0,,9999.0,,,,BKN,2000.0,,,,,,,24.0,18.0,30.12
2023-12-07 09:00:00,in_time,0.0,70.0,6.0,,10000.0,,,,,,,,,,,,23.0,21.0,30.0
2023-12-07 10:00:00,in_time,0.0,70.0,3.0,,10000.0,,,,,,,,,,,,26.0,20.0,30.0
2023-12-07 11:00:00,in_time,0.0,350.0,3.0,,10000.0,,,,,,,,,,,,29.0,20.0,30.03
2023-12-06 12:00:00,in_time,0.0,330.0,6.0,16.0,9999.0,,,,SCT,2000.0,,,,,,,26.0,20.0,30.09
2023-12-08 09:00:00,delayed,47.0,230.0,9.0,,9999.0,,,,SCT,2000.0,BKN,10000.0,,,,,21.0,19.0,30.03
2023-12-08 10:00:00,in_time,0.0,140.0,2.0,,10000.0,,,,,,,,,,,,22.0,20.0,30.03
2023-12-08 11:00:00,in_time,0.0,180.0,2.0,,10000.0,,,,,,,,,,,,23.0,20.0,30.06
2023-12-07 12:00:00,in_time,0.0,360.0,6.0,,10000.0,,,,,,,,,,,,30.0,20.0,30.03
2023-12-09 09:00:00,in_time,0.0,160.0,4.0,,9999.0,,,,OVC,1300.0,,,,,,,18.0,17.0,30.06
2023-12-09 10:00:00,in_time,0.0,150.0,5.0,,9999.0,,,,OVC,1300.0,,,,,,,19.0,17.0,30.09
2023-12-09 11:00:00,in_time,0.0,150.0,6.0,,5000.0,-DZ,BR,,BKN,900.0,OVC,1300.0,,,,,19.0,17.0,30.09
2023-12-08 12:00:00,in_time,0.0,140.0,3.0,,10000.0,,,,,,,,,,,,24.0,19.0,30.03
2023-12-10 09:00:00,in_time,0.0,60.0,5.0,,9999.0,,,,OVC,2000.0,,,,,,,18.0,15.0,30.06
2023-12-10 10:00:00,in_time,0.0,70.0,10.0,,9999.0,,,,BKN,2000.0,,,,,,,19.0,15.0,30.06
2023-12-10 11:00:00,in_time,0.0,70.0,11.0,,9999.0,,,,BKN,2000.0,,,,,,,20.0,15.0,30.06
2023-12-09 12:00:00,in_time,0.0,160.0,6.0,,5000.0,-DZ,BR,,BKN,900.0,OVC,1300.0,,,,,18.0,17.0,30.12
2023-12-11 09:00:00,in_time,0.0,80.0,5.0,,9999.0,,,,FEW,400.0,BKN,6600.0,,,,,18.0,18.0,29.94
2023-12-11 10:00:00,in_time,0.0,70.0,7.0,,9999.0,,,,SCT,4500.0,BKN,10000.0,,,,,19.0,18.0,29.94
