scheduled_departure,departure_status,departure_delay_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,air_temperature,dew_point_temperature,altimeter,ts
2023-09-02 02:00:00,in_time,0.0,90.0,3.0,,10000.0,,,,,,,,,,,,17.0,15.0,30.09,0
2023-09-02 00:00:00,in_time,0.0,140.0,2.0,,8000.0,,,,NSC,,,,,,,,17.0,16.0,30.09,0
2023-09-02 01:00:00,in_time,0.0,0.0,0.0,,10000.0,,,,,,,,,,,,17.0,16.0,30.09,0
2023-09-02 01:00:00,in_time,0.0,0.0,0.0,,10000.0,,,,,,,,,,,,17.0,16.0,30.09,0
2023-09-03 02:00:00,in_time,0.0,150.0,6.0,,4500.0,TSRA,,,SCT,900.0,FEW,5000.0,BKN,8000.0,,,19.0,19.0,30.09,1
2023-09-03 00:00:00,in_time,0.0,270.0,5.0,,5000.0,TSRA,,,BKN,900.0,FEW,4000.0,,,,,19.0,19.0,30.12,1
2023-09-03 01:00:00,in_time,0.0,150.0,1.0,,8000.0,-TSRA,,,SCT,700.0,FEW,5000.0,BKN,10000.0,,,19.0,19.0,30.09,1
2023-09-03 01:00:00,in_time,0.0,150.0,1.0,,8000.0,-TSRA,,,SCT,700.0,FEW,5000.0,BKN,10000.0,,,19.0,19.0,30.09,1
2023-09-04 02:00:00,in_time,0.0,290.0,2.0,,10000.0,,,,,,,,,,,,24.0,19.0,30.09,0
2023-09-04 00:00:00,in_time,0.0,10.0,6.0,,10000.0,,,,,,,,,,,,26.0,19.0,30.06,0
2023-09-04 01:00:00,in_time,0.0,280.0,3.0,,10000.0,,,,,,,,,,,,25.0,19.0,30.09,0
2023-09-04 01:00:00,in_time,0.0,280.0,3.0,,10000.0,,,,,,,,,,,,25.0,19.0,30.09,0
2023-09-05 02:00:00,in_time,0.0,310.0,3.0,,10000.0,,,,,,,,,,,,27.0,18.0,30.03,0
2023-09-05 00:00:00,in_time,0.0,350.0,5.0,,10000.0,,,,,,,,,,,,28.0,18.0,30.03,0
2023-09-05 01:00:00,in_time,0.0,330.0,4.0,,10000.0,,,,,,,,,,,,28.0,18.0,30.03,0
2023-09-05 01:00:00,in_time,0.0,330.0,4.0,,10000.0,,,,,,,,,,,,28.0,18.0,30.03,0
2023-09-06 02:00:00,in_time,0.0,170.0,3.0,,8000.0,,,,BKN,900.0,OVC,1500.0,,,,,16.0,16.0,30.33,0
2023-09-06 00:00:00,in_time,0.0,120.0,3.0,,9999.0,,,,OVC,1100.0,,,,,,,17.0,15.0,30.3,0
2023-09-06 01:00:00,in_time,0.0,150.0,5.0,,6000.0,-DZ,,,BKN,700.0,OVC,1100.0,,,,,16.0,16.0,30.33,0
2023-09-06 01:00:00,in_time,0.0,150.0,5.0,,6000.0,-DZ,,,BKN,700.0,OVC,1100.0,,,,,16.0,16.0,30.33,0
2023-09-07 02:00:00,in_time,0.0,120.0,8.0,,9999.0,,,,FEW,1400.0,BKN,1900.0,BKN,3800.0,,,16.0,14.0,30.33,0
2023-09-07 00:00:00,delayed,800.0,120.0,8.0,,9999.0,,,,BKN,1300.0,OVC,4000.0,,,,,16.0,14.0,30.33,0
2023-09-07 00:00:00,in_time,0.0,120.0,8.0,,9999.0,,,,BKN,1300.0,OVC,4000.0,,,,,16.0,14.0,30.33,0
2023-09-07 01:00:00,in_time,0.0,120.0,8.0,,9999.0,,,,FEW,1400.0,BKN,1900.0,,,,,16.0,14.0,30.33,0
2023-09-08 02:00:00,in_time,0.0,70.0,8.0,,10000.0,,,,,,,,,,,,16.0,16.0,30.18,0
2023-09-08 00:00:00,in_time,0.0,130.0,2.0,,8000.0,,,,NSC,,,,,,,,16.0,15.0,30.21,0
2023-09-08 00:00:00,in_time,0.0,130.0,2.0,,8000.0,,,,NSC,,,,,,,,16.0,15.0,30.21,0
2023-09-08 01:00:00,in_time,0.0,70.0,6.0,,10000.0,,,,,,,,,,,,17.0,16.0,30.18,0
2023-09-09 02:00:00,in_time,0.0,0.0,0.0,,10000.0,,,,,,,,,,,,19.0,17.0,30.09,0
2023-09-09 00:00:00,in_time,0.0,180.0,3.0,,10000.0,,,,,,,,,,,,20.0,15.0,30.09,0
2023-09-09 00:00:00,in_time,0.0,180.0,3.0,,10000.0,,,,,,,,,,,,20.0,15.0,30.09,0
2023-09-09 01:00:00,in_time,0.0,160.0,1.0,,10000.0,,,,,,,,,,,,20.0,16.0,30.09,0
2023-09-10 02:00:00,in_time,0.0,140.0,2.0,,10000.0,,,,,,,,,,,,19.0,15.0,30.15,0
2023-09-10 00:00:00,in_time,0.0,180.0,4.0,,10000.0,,,,,,,,,,,,20.0,15.0,30.15,0
2023-09-10 00:00:00,in_time,0.0,180.0,4.0,,10000.0,,,,,,,,,,,,20.0,15.0,30.15,0
2023-09-10 01:00:00,in_time,0.0,0.0,0.0,,10000.0,,,,,,,,,,,,20.0,15.0,30.18,0
2023-09-11 02:00:00,in_time,0.0,140.0,4.0,,9999.0,,,,OVC,900.0,,,,,,,19.0,17.0,30.21,0
2023-09-11 00:00:00,in_time,0.0,130.0,5.0,,9999.0,,,,OVC,1000.0,,,,,,,19.0,17.0,30.21,0
