station_id,date_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,air_temperature,dew_point_temperature,altimeter
SBGR,2023-12-01 00:00:00,110,2.0,,9999,,,,FEW,4000.0,,,,,,,23.0,20.0,30.0
SBGR,2023-12-01 01:00:00,130,2.0,,10000,,,,,,,,,,,,22.0,20.0,30.0
SBGR,2023-12-01 02:00:00,80,8.0,,10000,,,,,,,,,,,,22.0,21.0,30.03
SBGR,2023-12-01 03:00:00,150,2.0,,10000,,,,,,,,,,,,20.0,20.0,30.03
SBGR,2023-12-01 04:00:00,110,3.0,,10000,,,,,,,,,,,,21.0,20.0,30.0
SBGR,2023-12-01 05:00:00,170,2.0,,10000,,,,,,,,,,,,19.0,19.0,29.97
SBGR,2023-12-01 06:00:00,0,0.0,,9999,,,,FEW,900.0,,,,,,,20.0,20.0,29.97
SBGR,2023-12-01 07:00:00,150,2.0,,10000,,,,,,,,,,,,19.0,19.0,29.97
SBGR,2023-12-01 08:00:00,0,0.0,,6000,,,,SCT,900.0,,,,,,,19.0,19.0,30.0
SBGR,2023-12-01 09:00:00,130,1.0,,3000,BR,,,SCT,700.0,,,,,,,19.0,19.0,30.0
SBGR,2023-12-01 10:00:00,40,3.0,,3000,BR,,,NSC,,,,,,,,22.0,20.0,30.03
SBGR,2023-12-01 11:00:00,80,4.0,,5000,HZ,,,SCT,1300.0,,,,,,,25.0,20.0,30.03
SBGR,2023-12-01 12:00:00,110,5.0,,6000,,,,SCT,2000.0,,,,,,,26.0,20.0,30.03
SBGR,2023-12-01 13:00:00,120,4.0,,8000,,,,BKN,3000.0,,,,,,,26.0,19.0,30.03
SBGR,2023-12-01 14:00:00,30,5.0,,9000,,,,SCT,3000.0,,,,,,,27.0,20.0,30.03
SBGR,2023-12-01 15:00:00,80,3.0,,9999,,,,SCT,4000.0,,,,,,,29.0,20.0,30.0
SBGR,2023-12-01 16:00:00,150,4.0,,9999,,,,BKN,4500.0,,,,,,,29.0,19.0,29.97
SBGR,2023-12-01 17:00:00,150,7.0,,9999,,,,SCT,4000.0,,,,,,,30.0,19.0,29.97
SBGR,2023-12-01 18:00:00,170,6.0,,9999,,,,SCT,4000.0,,,,,,,30.0,20.0,29.94
SBGR,2023-12-01 19:00:00,170,8.0,,9999,,,,FEW,4000.0,,,,,,,29.0,20.0,29.94
SBGR,2023-12-01 20:00:00,120,7.0,,10000,,,,,,,,,,,,28.0,20.0,29.94
SBGR,2023-12-01 21:00:00,140,6.0,,10000,,,,,,,,,,,,26.0,20.0,29.94
SBGR,2023-12-01 22:00:00,140,4.0,,10000,,,,,,,,,,,,24.0,20.0,29.97
SBGR,2023-12-01 23:00:00,160,3.0,,9999,,,,FEW,1500.0,,,,,,,22.0,20.0,30.0
SBGR,2023-12-02 00:00:00,70,4.0,,9000,,,,FEW,1500.0,,,,,,,22.0,20.0,30.0
SBGR,2023-12-02 01:00:00,80,2.0,,7000,,,,NSC,,,,,,,,21.0,19.0,30.0
SBGR,2023-12-02 02:00:00,90,3.0,,9000,,,,NSC,,,,,,,,21.0,19.0,29.97
SBGR,2023-12-02 03:00:00,100,3.0,,10000,,,,,,,,,,,,19.0,19.0,29.97
SBGR,2023-12-02 04:00:00,90,3.0,,10000,,,,,,,,,,,,19.0,18.0,29.94
SBGR,2023-12-02 05:00:00,90,3.0,,10000,,,,,,,,,,,,18.0,18.0,29.94
SBGR,2023-12-02 06:00:00,110,3.0,,10000,,,,,,,,,,,,18.0,17.0,29.94
SBGR,2023-12-02 06:28:00,80,3.0,,6000,,,,BKN,800.0,,,,,,,18.0,17.0,29.94
SBGR,2023-12-02 07:00:00,100,2.0,,5000,BR,,,OVC,500.0,,,,,,,19.0,19.0,29.97
SBGR,2023-12-02 07:38:00,80,3.0,,4500,BR,,,OVC,300.0,,,,,,,19.0,19.0,29.97
SBGR,2023-12-02 08:00:00,140,2.0,,4500,BR,,,OVC,400.0,,,,,,,19.0,19.0,29.97
SBGR,2023-12-02 09:00:00,110,2.0,,3000,BR,,,OVC,400.0,,,,,,,20.0,19.0,30.0
SBGR,2023-12-02 10:00:00,40,4.0,,4000,BR,,,OVC,700.0,,,,,,,20.0,19.0,30.0
SBGR,2023-12-02 10:35:00,50,4.0,,8000,,,,OVC,900.0,,,,,,,21.0,19.0,30.0
SBGR,2023-12-02 11:00:00,70,6.0,,8000,,,,BKN,1000.0,,,,,,,21.0,19.0,30.0
SBGR,2023-12-02 11:35:00,60,5.0,,10000,,,,,,,,,,,,23.0,19.0,30.0
SBGR,2023-12-02 12:00:00,30,4.0,,10000,,,,,,,,,,,,23.0,19.0,30.0
SBGR,2023-12-02 13:00:00,100,2.0,,10000,,,,,,,,,,,,26.0,20.0,29.97
SBGR,2023-12-02 14:00:00,210,4.0,,10000,,,,,,,,,,,,29.0,19.0,29.97
SBGR,2023-12-02 15:00:00,180,4.0,,10000,,,,,,,,,,,,31.0,18.0,29.94
SBGR,2023-12-02 16:00:00,180,5.0,,10000,,,,,,,,,,,,32.0,18.0,29.91
SBGR,2023-12-02 17:00:00,190,5.0,,10000,,,,,,,,,,,,33.0,15.0,29.88
SBGR,2023-12-02 18:00:00,190,5.0,,10000,,,,,,,,,,,,32.0,15.0,29.88
SBGR,2023-12-02 19:00:00,180,6.0,,10000,,,,,,,,,,,,32.0,19.0,29.85
SBGR,2023-12-02 20:00:00,170,8.0,,10000,,,,,,,,,,,,31.0,19.0,29.85
SBGR,2023-12-02 21:00:00,160,8.0,,10000,,,,,,,,,,,,30.0,18.0,29.85
SBGR,2023-12-02 22:00:00,170,6.0,,10000,,,,,,,,,,,,28.0,19.0,29.88
SBGR,2023-12-02 23:00:00,130,4.0,,10000,,,,,,,,,,,,27.0,20.0,29.94
SBGR,2023-12-03 00:00:00,0,0.0,,10000,,,,,,,,,,,,24.0,20.0,29.94
SBGR,2023-12-03 01:00:00,150,1.0,,10000,,,,,,,,,,,,24.0,20.0,29.94
SBGR,2023-12-03 02:00:00,100,2.0,,10000,,,,,,,,,,,,23.0,20.0,29.94
SBGR,2023-12-03 03:00:00,0,0.0,,10000,,,,,,,,,,,,21.0,20.0,29.94
SBGR,2023-12-03 04:00:00,0,0.0,,10000,,,,,,,,,,,,20.0,20.0,29.91
SBGR,2023-12-03 05:00:00,100,2.0,,10000,,,,,,,,,,,,20.0,20.0,29.91
SBGR,2023-12-03 06:00:00,110,1.0,,10000,,,,,,,,,,,,20.0,20.0,29.88
SBGR,2023-12-03 07:00:00,70,4.0,,10000,,,,,,,,,,,,20.0,19.0,29.88
SBGR,2023-12-03 08:00:00,110,3.0,,9000,,,,NSC,,,,,,,,19.0,18.0,29.91
SBGR,2023-12-03 09:00:00,230,2.0,,9000,,,,NSC,,,,,,,,19.0,18.0,29.91
SBGR,2023-12-03 10:00:00,20,3.0,,10000,,,,,,,,,,,,23.0,20.0,29.91
SBGR,2023-12-03 11:00:00,60,6.0,,10000,,,,,,,,,,,,25.0,20.0,29.94
SBGR,2023-12-03 12:00:00,80,5.0,,10000,,,,,,,,,,,,27.0,20.0,29.94
SBGR,2023-12-03 13:00:00,50,4.0,,10000,,,,,,,,,,,,29.0,19.0,29.91
SBGR,2023-12-03 14:00:00,20,3.0,,10000,,,,,,,,,,,,30.0,20.0,29.91
SBGR,2023-12-03 15:00:00,20,4.0,,10000,,,,,,,,,,,,31.0,19.0,29.88
SBGR,2023-12-03 16:00:00,180,3.0,,9999,,,,FEW,4800.0,,,,,,,33.0,16.0,29.88
SBGR,2023-12-03 17:00:00,160,5.0,,8000,,,,NSC,,,,,,,,33.0,20.0,29.85
SBGR,2023-12-03 18:00:00,150,8.0,,8000,,,,NSC,,,,,,,,31.0,21.0,29.83
SBGR,2023-12-03 19:00:00,180,7.0,,7000,,,,NSC,,,,,,,,30.0,21.0,29.85
SBGR,2023-12-03 20:00:00,170,7.0,,8000,,,,NSC,,,,,,,,29.0,17.0,29.83
SBGR,2023-12-03 21:00:00,170,5.0,,10000,,,,,,,,,,,,29.0,16.0,29.85
SBGR,2023-12-03 22:00:00,180,3.0,,10000,,,,,,,,,,,,27.0,13.0,29.88
SBGR,2023-12-03 23:00:00,170,3.0,,10000,,,,,,,,,,,,25.0,18.0,29.91
SBGR,2023-12-04 00:00:00,130,4.0,,10000,,,,,,,,,,,,24.0,18.0,29.94
SBGR,2023-12-04 01:00:00,90,2.0,,10000,,,,,,,,,,,,23.0,20.0,29.97
SBGR,2023-12-04 02:00:00,160,3.0,,10000,,,,,,,,,,,,23.0,20.0,29.97
SBGR,2023-12-04 03:00:00,170,3.0,,10000,,,,,,,,,,,,22.0,20.0,29.97
SBGR,2023-12-04 04:00:00,180,3.0,,8000,,,,NSC,,,,,,,,21.0,19.0,29.97
SBGR,2023-12-04 05:00:00,150,2.0,,7000,,,,FEW,1200.0,,,,,,,21.0,19.0,29.94
