scheduled_departure,departure_status,departure_delay_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,air_temperature,dew_point_temperature,altimeter
2023-12-01 03:00:00,in_time,0.0,150.0,2.0,,10000.0,,,,,,,,,,,,20.0,20.0,30.03
2023-12-02 01:00:00,in_time,0.0,80.0,2.0,,7000.0,,,,NSC,,,,,,,,21.0,19.0,30.0
2023-12-01 03:00:00,delayed,1376.0,150.0,2.0,,10000.0,,,,,,,,,,,,20.0,20.0,30.03
2023-12-02 02:00:00,in_time,0.0,90.0,3.0,,9000.0,,,,NSC,,,,,,,,21.0,19.0,29.97
2023-12-02 03:00:00,in_time,0.0,100.0,3.0,,10000.0,,,,,,,,,,,,19.0,19.0,29.97
2023-12-03 01:00:00,in_time,0.0,150.0,1.0,,10000.0,,,,,,,,,,,,24.0,20.0,29.94
2023-12-02 03:00:00,delayed,1373.0,100.0,3.0,,10000.0,,,,,,,,,,,,19.0,19.0,29.97
2023-12-03 02:00:00,in_time,0.0,100.0,2.0,,10000.0,,,,,,,,,,,,23.0,20.0,29.94
2023-12-03 03:00:00,in_time,0.0,0.0,0.0,,10000.0,,,,,,,,,,,,21.0,20.0,29.94
2023-12-04 01:00:00,in_time,0.0,90.0,2.0,,10000.0,,,,,,,,,,,,23.0,20.0,29.97
2023-12-03 03:00:00,delayed,1372.0,0.0,0.0,,10000.0,,,,,,,,,,,,21.0,20.0,29.94
2023-12-04 02:00:00,in_time,0.0,160.0,3.0,,10000.0,,,,,,,,,,,,23.0,20.0,29.97
2023-12-04 03:00:00,in_time,0.0,170.0,3.0,,10000.0,,,,,,,,,,,,22.0,20.0,29.97
2023-12-05 01:00:00,in_time,0.0,150.0,6.0,,6000.0,-DZ,VCTS,,BKN,1000.0,BKN,1900.0,FEW,3000.0,,,21.0,20.0,30.12
2023-12-04 03:00:00,delayed,1368.0,170.0,3.0,,10000.0,,,,,,,,,,,,22.0,20.0,29.97
2023-12-05 02:00:00,in_time,0.0,130.0,4.0,,9000.0,VCTS,,,BKN,1300.0,FEW,3000.0,,,,,22.0,19.0,30.12
2023-12-05 03:00:00,in_time,0.0,150.0,4.0,,7000.0,-RA,,,BKN,1000.0,OVC,1300.0,,,,,21.0,20.0,30.12
2023-12-06 01:00:00,in_time,0.0,150.0,5.0,,9999.0,,,,OVC,1300.0,,,,,,,22.0,20.0,30.12
2023-12-05 03:00:00,delayed,1372.0,150.0,4.0,,7000.0,-RA,,,BKN,1000.0,OVC,1300.0,,,,,21.0,20.0,30.12
2023-12-06 02:00:00,in_time,0.0,110.0,6.0,,9999.0,,,,OVC,1500.0,,,,,,,22.0,20.0,30.09
2023-12-06 03:00:00,delayed,1401.0,130.0,5.0,,9999.0,,,,OVC,1300.0,,,,,,,22.0,20.0,30.09
2023-12-07 01:00:00,in_time,0.0,80.0,6.0,,10000.0,,,,,,,,,,,,26.0,22.0,30.03
2023-12-06 03:00:00,delayed,1376.0,130.0,5.0,,9999.0,,,,OVC,1300.0,,,,,,,22.0,20.0,30.09
2023-12-07 02:00:00,in_time,0.0,70.0,9.0,,10000.0,,,,,,,,,,,,25.0,21.0,30.03
2023-12-08 01:00:00,in_time,0.0,190.0,5.0,,9999.0,VCTS,,,BKN,3000.0,FEW,4000.0,,,,,25.0,19.0,30.06
2023-12-07 03:00:00,delayed,1374.0,70.0,7.0,,10000.0,,,,,,,,,,,,24.0,21.0,30.0
2023-12-08 02:00:00,in_time,0.0,190.0,2.0,,9999.0,VCTS,,,FEW,4000.0,BKN,8000.0,,,,,24.0,20.0,30.03
2023-12-08 03:00:00,in_time,0.0,240.0,6.0,,10000.0,,,,,,,,,,,,24.0,18.0,30.03
2023-12-09 01:00:00,in_time,0.0,160.0,6.0,,9999.0,,,,OVC,1500.0,,,,,,,21.0,18.0,30.12
2023-12-08 03:00:00,delayed,1440.0,240.0,6.0,,10000.0,,,,,,,,,,,,24.0,18.0,30.03
2023-12-09 02:00:00,in_time,0.0,150.0,6.0,,9999.0,,,,BKN,1300.0,OVC,1700.0,,,,,21.0,18.0,30.12
2023-12-09 03:00:00,in_time,0.0,140.0,5.0,,9999.0,,,,BKN,1200.0,OVC,3000.0,,,,,20.0,18.0,30.09
2023-12-10 01:00:00,in_time,0.0,120.0,7.0,,9999.0,,,,SCT,1500.0,BKN,2000.0,,,,,18.0,15.0,30.15
2023-12-09 03:00:00,delayed,1374.0,140.0,5.0,,9999.0,,,,BKN,1200.0,OVC,3000.0,,,,,20.0,18.0,30.09
2023-12-10 02:00:00,in_time,0.0,110.0,8.0,,9999.0,,,,SCT,1700.0,BKN,2500.0,,,,,18.0,15.0,30.15
2023-12-10 03:00:00,in_time,0.0,120.0,8.0,,9999.0,,,,FEW,1500.0,BKN,2000.0,,,,,18.0,15.0,30.12
2023-12-11 01:00:00,in_time,0.0,150.0,7.0,,8000.0,-TSRA,,,BKN,900.0,BKN,1500.0,FEW,2000.0,,,19.0,19.0,30.0
2023-12-10 03:00:00,delayed,1370.0,120.0,8.0,,9999.0,,,,FEW,1500.0,BKN,2000.0,,,,,18.0,15.0,30.12
2023-12-11 02:00:00,in_time,0.0,220.0,4.0,,7000.0,-RA,,,BKN,600.0,OVC,800.0,,,,,19.0,19.0,30.06
2023-12-11 03:00:00,in_time,0.0,80.0,4.0,,7000.0,-RA,,,SCT,800.0,OVC,10000.0,,,,,19.0,19.0,29.97
2023-12-12 01:00:00,in_time,0.0,160.0,4.0,,9999.0,,,,OVC,900.0,,,,,,,19.0,18.0,30.12
2023-12-11 03:00:00,delayed,1384.0,80.0,4.0,,7000.0,-RA,,,SCT,800.0,OVC,10000.0,,,,,19.0,19.0,29.97
2023-12-12 02:00:00,in_time,0.0,160.0,7.0,,9999.0,,,,OVC,1100.0,,,,,,,19.0,17.0,30.12
2023-12-12 03:00:00,in_time,0.0,160.0,4.0,,9999.0,,,,OVC,1300.0,,,,,,,19.0,16.0,30.09
2023-12-13 01:00:00,in_time,0.0,110.0,6.0,,9999.0,,,,BKN,1100.0,,,,,,,19.0,16.0,30.12
2023-12-12 03:00:00,delayed,1395.0,160.0,4.0,,9999.0,,,,OVC,1300.0,,,,,,,19.0,16.0,30.09
2023-12-13 02:00:00,in_time,0.0,110.0,6.0,,9999.0,,,,SCT,1500.0,BKN,3600.0,,,,,18.0,16.0,30.12
